uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
P49281	tissue29_lung	10.0	tissue29_lung	0.817191649	0.18550037487658244
P49281	tissue29_placenta	9.0	tissue29_placenta	0.34383149	0.15991893562073023
P49281	tissue29_prostate	12.0	tissue29_prostate	0.15992989	0.17885949731565498
P49281	tissue29_rectum	8.0	tissue29_rectum	0.138521593	0.18043871731218575
P49281	tissue29_salivary.gland	9.0	tissue29_salivary.gland	0.174537019	0.21946420237927344
P49281	tissue29_small.intestine	6.0	tissue29_small.intestine	0.294245277	0.27515469794959535
P49281	tissue29_spleen	4.0	tissue29_spleen	0.190982915	0.18618641215812315
P49281	tissue29_stomach	7.0	tissue29_stomach	0.311799864	0.13785445279970943
P49281	tissue29_testis	6.0	tissue29_testis	0.247649402	0.12038192749046961
P49281	tissue29_thyroid	18.0	tissue29_thyroid	1.212961831	0.170171859147084
P49281	tissue29_tonsil	7.0	tissue29_tonsil	0.319388591	0.17427545831486047
P49281	tissue29_urinary.bladder	8.0	tissue29_urinary.bladder	0.031318975	0.14057965556572594
P50579	tissue29_adipose.tissue	19.0	tissue29_adipose.tissue	4.214516713	0.901021406401326
P50579	tissue29_adrenal.gland	27.0	tissue29_adrenal.gland	6.980729505	0.46045295208758863
P50579	tissue29_appendix	24.0	tissue29_appendix	23.16372647	0.40757907636645374
P50579	tissue29_bone.marrow	35.0	tissue29_bone.marrow	51.61420644	0.868743228749997
P50579	tissue29_colon	20.0	tissue29_colon	6.884039516	0.31914271729527877
P50579	tissue29_duodenum	15.0	tissue29_duodenum	16.44639846	0.3834726656474787
P50579	tissue29_endometrium	26.0	tissue29_endometrium	19.25186988	0.885811490598206
P50579	tissue29_esophagus	23.0	tissue29_esophagus	15.12895829	0.3871090361896907
P50579	tissue29_fallopian.tube	23.0	tissue29_fallopian.tube	22.29609629	0.6475821087418419
P50579	tissue29_gall.bladder	22.0	tissue29_gall.bladder	9.488069678	0.40158793621059186
P50579	tissue29_heart	17.0	tissue29_heart	9.366274595	0.2803910777029692
P50579	tissue29_kidney	18.0	tissue29_kidney	9.013474857	0.20445168165808436
P50579	tissue29_liver	17.0	tissue29_liver	13.84118605	0.27125704279429996
P50579	tissue29_lung	22.0	tissue29_lung	18.68817488	0.489585568183297
P50579	tissue29_lymph.node	38.0	tissue29_lymph.node	9.064824499	0.7847056411952218
P50579	tissue29_ovary	24.0	tissue29_ovary	13.08709155	0.6609635571624914
P50579	tissue29_pancreas	7.0	tissue29_pancreas	25.06310084	0.37353662571818225
P50579	tissue29_placenta	21.0	tissue29_placenta	10.95653515	0.4731260090041953
P50579	tissue29_prostate	19.0	tissue29_prostate	11.16978323	0.41998526644884615
P50579	tissue29_rectum	23.0	tissue29_rectum	8.711204155	0.37331543305288073
P50579	tissue29_salivary.gland	11.0	tissue29_salivary.gland	13.60660855	0.1579038364269616
P50579	tissue29_small.intestine	15.0	tissue29_small.intestine	17.71522687	0.40745289905288185
P50579	tissue29_smooth.muscle	21.0	tissue29_smooth.muscle	8.774748898	0.355848401995871
P50579	tissue29_spleen	17.0	tissue29_spleen	7.641227609	0.22268056435291506
